id,lambda
0,0.0
1,38.0
2,51.0
3,73.0
4,70.0
5,58.0
6,54.0
7,1.0
8,98.0
9,62.0
10,98.0
11,25.0
12,86.0
13,46.0
14,27.0
15,17.0
16,97.0
17,74.0
18,81.0
19,62.0
20,59.0
21,23.0
22,62.0
23,66.0
24,35.0
25,53.0
26,18.0
27,87.0
28,32.0
29,4.0
30,61.0
31,95.0
32,23.0
33,15.0
34,5.0
35,53.0
36,97.0
37,70.0
38,32.0
39,27.0
40,42.0
41,67.0
42,76.0
43,15.0
44,39.0
45,14.0
46,43.0
47,11.0
48,93.0
49,53.0
50,44.0
51,80.0
52,87.0
53,97.0
54,67.0
55,72.0
56,50.0
57,8.0
58,58.0
59,55.0
60,67.0
61,89.0
62,38.0
63,65.0
64,3.0
65,5.0
66,46.0
67,100.0
68,52.0
69,28.0
70,96.0
71,18.0
72,16.0
73,7.0
74,73.0
75,76.0
76,6.0
77,64.0
78,39.0
79,86.0
80,70.0
81,14.0
82,83.0
83,96.0
84,43.0
85,12.0
86,73.0
87,2.0
88,21.0
89,18.0
90,55.0
91,75.0
92,68.0
93,100.0
94,61.0
95,24.0
96,40.0
97,48.0
98,51.0
99,78.0
100,35.0
