id,lambda
0,0.0
1,63.0
2,89.0
3,97.0
4,78.0
5,92.0
6,55.0
7,97.0
8,88.0
9,95.0
10,64.0
11,80.0
12,68.0
13,71.0
14,95.0
15,75.0
16,89.0
17,54.0
18,75.0
19,61.0
20,66.0
21,86.0
22,56.0
23,99.0
24,65.0
25,56.0
26,99.0
27,79.0
28,73.0
29,53.0
30,63.0
31,76.0
32,67.0
33,77.0
34,82.0
35,67.0
36,68.0
37,64.0
38,69.0
39,68.0
40,83.0
41,77.0
42,67.0
43,74.0
44,80.0
45,55.0
46,86.0
47,68.0
48,62.0
49,78.0
50,67.0
51,90.0
52,63.0
53,90.0
54,56.0
55,69.0
56,97.0
57,87.0
58,87.0
59,70.0
60,75.0
61,73.0
62,81.0
63,97.0
64,88.0
65,68.0
66,53.0
67,64.0
68,95.0
69,87.0
70,92.0
71,79.0
72,77.0
73,75.0
74,86.0
75,85.0
76,55.0
77,60.0
78,78.0
79,71.0
80,68.0
81,69.0
82,73.0
83,89.0
84,64.0
85,95.0
86,61.0
87,85.0
88,55.0
89,96.0
90,51.0
91,98.0
92,82.0
93,89.0
94,71.0
95,60.0
96,94.0
97,64.0
98,74.0
99,75.0
100,91.0
101,63.0
102,67.0
103,91.0
104,77.0
105,65.0
106,89.0
107,50.0
108,77.0
109,88.0
110,66.0
111,98.0
112,64.0
113,51.0
114,64.0
115,96.0
116,51.0
117,54.0
118,68.0
119,59.0
120,100.0
121,61.0
122,62.0
123,99.0
124,77.0
125,52.0
126,81.0
127,80.0
128,94.0
129,91.0
130,65.0
131,89.0
132,90.0
133,94.0
134,91.0
135,68.0
136,93.0
137,74.0
138,100.0
139,60.0
140,79.0
141,89.0
142,96.0
143,63.0
144,57.0
145,53.0
146,60.0
147,51.0
148,58.0
149,69.0
150,71.0
151,56.0
152,88.0
153,58.0
154,89.0
155,64.0
156,94.0
157,66.0
158,53.0
159,69.0
160,95.0
161,75.0
162,96.0
163,95.0
164,74.0
165,81.0
166,59.0
167,76.0
168,80.0
169,79.0
170,86.0
171,53.0
172,93.0
173,65.0
174,61.0
175,81.0
176,56.0
177,51.0
178,81.0
179,93.0
180,66.0
181,91.0
182,66.0
183,91.0
184,77.0
185,64.0
186,52.0
187,83.0
188,63.0
189,80.0
190,87.0
191,93.0
192,55.0
193,94.0
194,88.0
195,82.0
196,77.0
197,75.0
198,67.0
199,78.0
200,98.0
201,54.0
202,68.0
203,69.0
204,52.0
205,68.0
206,59.0
207,64.0
208,69.0
209,72.0
210,98.0
211,61.0
212,59.0
213,71.0
214,99.0
215,76.0
216,75.0
217,54.0
218,73.0
219,93.0
220,70.0
221,98.0
222,74.0
223,65.0
224,84.0
225,72.0
226,59.0
227,91.0
228,81.0
229,79.0
230,59.0
231,88.0
232,53.0
233,80.0
234,68.0
235,97.0
236,90.0
237,100.0
238,86.0
239,79.0
240,52.0
241,92.0
242,80.0
243,94.0
244,70.0
245,61.0
246,63.0
247,77.0
248,90.0
249,57.0
250,70.0
251,84.0
252,97.0
253,68.0
254,61.0
255,50.0
256,88.0
257,89.0
258,82.0
259,58.0
260,68.0
261,94.0
262,83.0
263,70.0
264,54.0
265,80.0
266,55.0
267,74.0
268,88.0
269,60.0
270,84.0
271,88.0
272,65.0
273,86.0
274,99.0
275,81.0
276,81.0
277,63.0
278,55.0
279,57.0
280,80.0
281,99.0
282,65.0
283,96.0
284,75.0
285,96.0
286,95.0
287,61.0
288,74.0
289,68.0
290,76.0
291,74.0
292,73.0
293,71.0
294,81.0
295,89.0
296,60.0
297,81.0
298,50.0
299,92.0
300,80.0
301,53.0
302,100.0
303,55.0
304,64.0
305,83.0
306,74.0
307,61.0
308,75.0
309,79.0
310,70.0
311,80.0
312,52.0
313,54.0
314,77.0
315,66.0
316,89.0
317,79.0
318,68.0
319,63.0
320,50.0
321,89.0
322,62.0
323,78.0
324,77.0
325,61.0
326,100.0
327,58.0
328,77.0
329,60.0
330,73.0
331,88.0
332,99.0
333,79.0
334,79.0
335,96.0
336,58.0
337,57.0
338,76.0
339,74.0
340,85.0
341,58.0
342,54.0
343,61.0
344,65.0
345,52.0
346,78.0
347,85.0
348,70.0
349,72.0
350,77.0
351,70.0
352,76.0
353,75.0
354,60.0
355,59.0
356,63.0
357,68.0
358,84.0
359,92.0
360,62.0
361,95.0
362,95.0
363,51.0
364,76.0
365,90.0
366,67.0
367,72.0
368,55.0
369,88.0
370,74.0
371,57.0
372,93.0
373,54.0
374,51.0
375,63.0
376,76.0
377,67.0
378,87.0
379,91.0
380,51.0
381,76.0
382,68.0
383,96.0
384,58.0
385,55.0
386,90.0
387,55.0
388,65.0
389,92.0
390,81.0
391,53.0
392,75.0
393,60.0
394,84.0
395,71.0
396,96.0
397,87.0
398,59.0
399,100.0
400,62.0
401,50.0
402,91.0
403,51.0
404,83.0
405,68.0
406,58.0
407,50.0
408,93.0
409,78.0
410,75.0
411,73.0
412,67.0
413,91.0
414,86.0
415,53.0
416,54.0
417,56.0
418,72.0
419,56.0
420,64.0
421,84.0
422,84.0
423,57.0
424,73.0
425,84.0
426,62.0
427,88.0
428,90.0
429,71.0
430,50.0
431,92.0
432,87.0
433,70.0
434,95.0
435,95.0
436,88.0
437,51.0
438,69.0
439,88.0
440,73.0
441,59.0
442,62.0
443,71.0
444,100.0
445,70.0
446,74.0
447,58.0
448,73.0
449,53.0
450,78.0
451,51.0
452,95.0
453,96.0
454,88.0
455,69.0
456,63.0
457,93.0
458,50.0
459,90.0
460,93.0
461,95.0
462,87.0
463,62.0
464,88.0
465,76.0
466,56.0
467,76.0
468,89.0
469,55.0
470,79.0
471,89.0
472,76.0
473,88.0
474,68.0
475,73.0
476,80.0
477,64.0
478,81.0
479,74.0
480,70.0
481,73.0
482,77.0
483,80.0
484,88.0
485,80.0
486,91.0
487,50.0
488,54.0
489,61.0
490,67.0
491,64.0
492,86.0
493,59.0
494,62.0
495,77.0
496,72.0
497,93.0
498,97.0
499,86.0
500,71.0
501,82.0
502,84.0
503,67.0
504,57.0
505,91.0
506,64.0
507,69.0
508,94.0
509,75.0
510,100.0
511,65.0
512,56.0
513,93.0
514,89.0
515,80.0
516,78.0
517,87.0
518,85.0
519,67.0
520,53.0
521,68.0
522,85.0
523,52.0
524,51.0
525,66.0
526,73.0
527,98.0
528,99.0
529,97.0
530,86.0
531,61.0
532,65.0
533,83.0
534,80.0
535,88.0
536,76.0
537,96.0
538,70.0
539,97.0
540,71.0
541,53.0
542,76.0
543,95.0
544,87.0
545,89.0
546,85.0
547,92.0
548,98.0
549,69.0
550,67.0
551,82.0
552,69.0
553,89.0
554,72.0
555,94.0
556,74.0
557,67.0
558,64.0
559,90.0
560,74.0
561,66.0
562,94.0
563,93.0
564,55.0
565,59.0
566,60.0
567,64.0
568,90.0
569,77.0
570,56.0
571,97.0
572,97.0
573,52.0
574,56.0
575,78.0
576,71.0
577,88.0
578,85.0
579,52.0
580,79.0
581,78.0
582,84.0
583,60.0
584,58.0
585,100.0
586,100.0
587,75.0
588,86.0
589,64.0
590,82.0
