id,lambda
0,0.0
1,67.0
2,86.0
3,82.0
4,99.0
5,54.0
6,52.0
7,54.0
8,71.0
9,70.0
10,61.0
11,74.0
12,91.0
13,97.0
14,92.0
15,63.0
16,84.0
17,90.0
18,53.0
19,66.0
20,79.0
21,57.0
22,53.0
23,72.0
24,58.0
25,94.0
26,86.0
27,64.0
28,74.0
29,82.0
30,78.0
31,77.0
32,78.0
33,58.0
34,51.0
35,64.0
36,61.0
37,87.0
38,92.0
39,80.0
40,62.0
41,97.0
42,88.0
43,78.0
44,78.0
45,86.0
46,75.0
47,62.0
48,96.0
49,82.0
50,50.0
51,61.0
52,86.0
53,67.0
54,92.0
55,57.0
56,51.0
57,70.0
58,93.0
59,83.0
60,99.0
61,64.0
62,62.0
63,78.0
64,64.0
65,81.0
66,85.0
67,56.0
68,56.0
69,87.0
70,91.0
71,92.0
72,58.0
73,68.0
74,93.0
75,58.0
76,98.0
77,87.0
78,85.0
79,94.0
80,71.0
81,93.0
82,50.0
83,60.0
84,90.0
85,95.0
86,87.0
87,85.0
88,79.0
89,54.0
90,89.0
91,98.0
92,98.0
93,85.0
94,97.0
95,94.0
96,69.0
97,62.0
98,56.0
99,98.0
100,65.0
101,55.0
102,93.0
103,52.0
104,69.0
105,60.0
106,97.0
107,55.0
108,85.0
109,52.0
110,66.0
111,72.0
112,69.0
113,50.0
114,73.0
115,54.0
116,74.0
117,93.0
118,84.0
119,69.0
120,99.0
121,74.0
122,94.0
123,98.0
124,55.0
125,95.0
126,74.0
127,88.0
128,100.0
129,79.0
130,85.0
131,78.0
132,71.0
133,96.0
134,96.0
135,76.0
136,50.0
137,100.0
138,70.0
139,55.0
140,70.0
141,82.0
142,64.0
143,61.0
144,97.0
145,82.0
146,89.0
147,81.0
148,73.0
149,63.0
150,78.0
151,74.0
152,69.0
153,53.0
154,78.0
155,71.0
156,52.0
157,96.0
158,92.0
159,75.0
160,63.0
161,56.0
162,93.0
163,86.0
164,58.0
165,58.0
166,93.0
167,78.0
168,62.0
169,64.0
170,83.0
171,100.0
172,88.0
173,79.0
174,75.0
175,76.0
176,62.0
177,62.0
178,68.0
179,80.0
180,68.0
181,56.0
182,65.0
183,64.0
184,99.0
185,71.0
186,62.0
187,58.0
188,74.0
189,89.0
190,95.0
191,70.0
192,69.0
193,72.0
194,99.0
195,60.0
196,57.0
197,95.0
198,81.0
199,72.0
200,60.0
201,79.0
202,55.0
203,76.0
204,70.0
205,94.0
206,95.0
207,79.0
208,73.0
209,69.0
210,81.0
211,89.0
212,92.0
213,74.0
214,90.0
215,53.0
216,94.0
217,52.0
218,66.0
219,97.0
220,50.0
221,75.0
222,79.0
223,86.0
224,74.0
225,51.0
226,74.0
227,90.0
228,51.0
229,57.0
230,53.0
231,72.0
232,54.0
233,71.0
234,59.0
235,75.0
236,50.0
237,78.0
238,66.0
239,85.0
240,87.0
241,79.0
242,99.0
243,100.0
244,78.0
245,69.0
246,98.0
247,54.0
248,62.0
249,75.0
250,61.0
251,77.0
252,67.0
253,58.0
254,88.0
255,86.0
256,86.0
257,73.0
258,88.0
259,64.0
260,75.0
261,97.0
262,58.0
263,91.0
264,50.0
265,68.0
266,63.0
267,84.0
268,61.0
269,84.0
270,87.0
271,58.0
272,61.0
273,68.0
274,90.0
275,99.0
276,59.0
277,92.0
278,84.0
279,83.0
280,63.0
281,65.0
282,67.0
283,88.0
284,54.0
285,88.0
286,68.0
287,86.0
288,63.0
289,61.0
290,62.0
291,73.0
292,59.0
293,65.0
294,89.0
295,95.0
296,57.0
297,95.0
298,88.0
299,93.0
300,85.0
301,63.0
302,50.0
303,63.0
304,55.0
305,62.0
306,76.0
307,76.0
308,67.0
309,94.0
310,95.0
311,52.0
312,53.0
313,99.0
314,53.0
315,67.0
316,98.0
317,66.0
318,65.0
319,100.0
320,63.0
321,95.0
322,66.0
323,54.0
324,88.0
325,63.0
326,90.0
327,96.0
328,83.0
329,79.0
330,54.0
331,91.0
332,54.0
333,66.0
334,54.0
335,63.0
336,76.0
337,90.0
338,78.0
339,70.0
340,87.0
341,76.0
342,74.0
343,77.0
344,92.0
345,51.0
346,92.0
347,55.0
348,77.0
349,95.0
350,74.0
351,90.0
352,94.0
353,98.0
354,70.0
355,98.0
356,94.0
357,95.0
358,58.0
359,59.0
360,85.0
361,97.0
362,82.0
363,66.0
364,52.0
365,96.0
366,92.0
367,73.0
368,81.0
369,77.0
370,64.0
371,71.0
372,99.0
373,93.0
374,68.0
375,70.0
376,84.0
377,52.0
378,51.0
379,91.0
380,77.0
381,75.0
382,90.0
383,71.0
384,62.0
385,99.0
386,95.0
387,92.0
388,58.0
389,58.0
390,90.0
391,99.0
392,71.0
393,74.0
394,91.0
395,58.0
396,62.0
397,52.0
398,59.0
399,55.0
400,78.0
401,99.0
402,56.0
403,68.0
404,88.0
405,93.0
406,72.0
407,97.0
408,90.0
409,77.0
410,53.0
411,62.0
412,81.0
413,59.0
414,57.0
415,58.0
416,78.0
417,74.0
418,60.0
419,75.0
420,66.0
421,57.0
422,78.0
423,79.0
424,99.0
425,89.0
426,52.0
427,57.0
428,67.0
429,89.0
430,51.0
431,76.0
432,75.0
433,83.0
434,75.0
435,100.0
436,85.0
437,78.0
438,81.0
439,71.0
440,67.0
441,51.0
442,67.0
443,59.0
444,70.0
445,98.0
446,73.0
447,65.0
448,97.0
449,99.0
450,87.0
451,89.0
452,99.0
453,93.0
454,68.0
455,63.0
456,76.0
457,67.0
458,87.0
459,50.0
460,99.0
461,55.0
462,64.0
463,98.0
464,81.0
465,56.0
466,90.0
467,53.0
468,74.0
469,51.0
470,90.0
471,56.0
472,72.0
473,52.0
474,64.0
475,72.0
476,77.0
477,94.0
478,82.0
479,55.0
480,78.0
481,51.0
482,95.0
483,69.0
484,90.0
485,67.0
486,57.0
487,65.0
488,61.0
489,85.0
490,63.0
491,78.0
492,91.0
493,54.0
494,93.0
495,85.0
496,51.0
497,95.0
498,71.0
499,71.0
500,88.0
501,63.0
502,95.0
503,67.0
504,64.0
505,56.0
506,63.0
507,88.0
508,87.0
509,97.0
510,79.0
511,94.0
512,78.0
513,57.0
514,54.0
515,57.0
516,71.0
517,80.0
518,90.0
519,50.0
520,62.0
521,69.0
522,53.0
523,79.0
524,75.0
525,88.0
526,82.0
527,51.0
528,96.0
529,74.0
530,90.0
531,91.0
532,58.0
533,66.0
534,91.0
535,67.0
536,100.0
537,90.0
538,86.0
539,96.0
540,80.0
541,59.0
542,59.0
543,93.0
544,56.0
545,93.0
546,86.0
547,93.0
548,77.0
549,85.0
550,60.0
551,81.0
552,86.0
553,97.0
554,77.0
555,93.0
556,86.0
557,56.0
558,78.0
559,62.0
560,72.0
561,73.0
562,65.0
563,50.0
564,69.0
565,61.0
566,73.0
567,70.0
568,88.0
569,80.0
570,52.0
571,86.0
572,91.0
573,84.0
574,68.0
575,68.0
576,69.0
577,86.0
578,60.0
579,62.0
580,89.0
581,83.0
582,65.0
583,73.0
584,90.0
585,94.0
586,53.0
587,57.0
588,54.0
589,61.0
590,75.0
591,81.0
592,87.0
593,66.0
594,68.0
595,90.0
596,53.0
597,100.0
598,87.0
599,92.0
600,86.0
601,53.0
602,83.0
603,98.0
604,51.0
605,71.0
606,52.0
607,83.0
608,76.0
609,62.0
610,98.0
611,56.0
612,91.0
613,74.0
614,100.0
615,90.0
616,84.0
617,87.0
618,55.0
619,62.0
620,65.0
621,55.0
622,69.0
623,71.0
624,100.0
625,82.0
626,69.0
627,99.0
628,93.0
629,83.0
630,78.0
631,94.0
632,51.0
633,86.0
634,98.0
635,68.0
636,95.0
637,72.0
638,55.0
639,52.0
640,83.0
641,98.0
642,67.0
643,64.0
644,64.0
645,62.0
646,59.0
647,95.0
648,73.0
649,52.0
650,50.0
651,97.0
652,100.0
653,90.0
654,55.0
655,98.0
656,66.0
657,95.0
658,88.0
659,65.0
660,71.0
661,63.0
662,92.0
663,93.0
664,93.0
665,53.0
666,66.0
667,89.0
668,53.0
669,90.0
670,73.0
671,89.0
672,99.0
673,70.0
674,91.0
675,75.0
676,93.0
677,98.0
678,88.0
679,51.0
680,67.0
681,68.0
682,60.0
683,100.0
684,91.0
685,65.0
686,79.0
687,73.0
688,96.0
689,83.0
690,96.0
691,79.0
692,71.0
693,92.0
694,72.0
695,50.0
696,67.0
697,85.0
698,60.0
699,97.0
700,60.0
701,74.0
702,51.0
703,58.0
704,82.0
705,55.0
706,88.0
707,77.0
708,59.0
709,83.0
710,82.0
711,76.0
712,74.0
713,58.0
714,55.0
715,59.0
716,72.0
717,85.0
718,85.0
719,63.0
720,96.0
721,72.0
722,62.0
723,79.0
724,75.0
725,70.0
726,66.0
727,82.0
728,83.0
729,55.0
730,100.0
731,82.0
732,99.0
733,78.0
734,86.0
735,73.0
736,88.0
737,80.0
738,79.0
739,59.0
740,97.0
741,68.0
742,87.0
743,82.0
744,50.0
745,52.0
746,56.0
747,67.0
748,75.0
749,99.0
750,70.0
751,82.0
752,73.0
753,89.0
754,57.0
755,53.0
756,66.0
757,50.0
758,68.0
759,51.0
760,98.0
761,91.0
762,53.0
763,83.0
764,50.0
765,51.0
766,70.0
767,99.0
768,77.0
769,70.0
770,84.0
771,61.0
772,88.0
773,55.0
774,98.0
775,82.0
776,55.0
777,74.0
778,82.0
779,59.0
780,85.0
781,58.0
782,78.0
783,93.0
784,88.0
785,60.0
786,52.0
787,93.0
788,77.0
789,83.0
790,73.0
791,73.0
792,69.0
793,69.0
794,94.0
795,90.0
796,100.0
797,99.0
798,50.0
799,98.0
800,56.0
801,53.0
802,73.0
803,72.0
804,64.0
805,97.0
806,58.0
807,91.0
808,96.0
809,52.0
810,53.0
811,77.0
812,82.0
813,66.0
814,55.0
815,59.0
816,96.0
817,62.0
818,67.0
819,85.0
820,91.0
821,70.0
822,78.0
823,61.0
824,54.0
825,66.0
826,90.0
827,91.0
828,78.0
829,68.0
830,72.0
831,85.0
832,83.0
833,56.0
834,68.0
835,81.0
836,60.0
837,93.0
838,67.0
839,73.0
840,79.0
841,62.0
842,92.0
843,59.0
844,100.0
845,74.0
846,96.0
847,96.0
848,55.0
849,72.0
850,72.0
851,70.0
852,90.0
853,64.0
854,76.0
855,79.0
856,63.0
857,58.0
858,62.0
859,75.0
860,69.0
861,63.0
862,81.0
863,75.0
864,65.0
865,54.0
866,88.0
867,76.0
868,57.0
869,97.0
870,67.0
871,92.0
872,63.0
873,81.0
874,67.0
875,94.0
876,72.0
877,82.0
878,97.0
879,67.0
880,75.0
881,65.0
882,87.0
883,86.0
884,56.0
885,65.0
886,64.0
887,90.0
888,51.0
889,72.0
890,82.0
891,82.0
892,55.0
893,86.0
894,72.0
