node_id,lambda
0,0.0
1,3.6799739107591027
2,4.452901688675096
3,7.323605082648263
4,3.7529975382775738
5,2.7807200262248326
6,8.748502183204936
7,1.8181109260710104
8,10.200637247295159
9,4.565919432371793
10,1.1046428741626624
11,4.435830205006314
12,3.647167874613647
13,4.157671143828723
14,1.2711159948730733
15,4.590252015946962
16,3.0003877588065566
17,3.476863240219901
18,8.197232929415573
19,1.4927366845576957
20,5.1955504558836205
21,10.428850965423976
22,1.0400391946690242
23,2.114657906470849
24,1.773782168199368
25,2.6563018477165836
26,4.0268223776117384
27,1.7839764200360606
28,3.22665173093231
29,6.658136554300828
30,2.118281070526602
31,2.9966919094948126
32,1.1645045250584394
33,2.5587734393277737
34,2.6268755820783176
35,4.435306103892767
36,1.277352886165561
37,5.434898337913134
38,3.521976347278559
39,3.7210853914478674
40,3.8391187750267095
41,10.533623565361122
42,11.838178097049084
43,3.9286494382598893
44,4.630414514104415
45,5.050925493651783
46,2.813423369814721
47,2.4415342460062863
48,1.8826129672347007
49,3.197437848093607
50,4.834316450393301
51,3.722318638526698
52,3.3659358229819345
53,4.058453799268415
54,4.10684585275923
55,1.8795863106672752
56,6.6392371408971895
57,4.342016865031926
58,10.655485402742217
59,11.783052835678657
60,3.123809705433314
61,3.2159213483003692
62,7.8923950734729935
63,2.134030309131037
64,4.1541453423370776
65,4.366164924774701
66,3.720262710822459
67,3.8079624774215444
68,1.9956938453578732
69,11.104467894889414
70,6.821910863341888
71,1.9133977816061503
72,4.48484579617735
73,9.327064039760689
74,1.5512311571078348
75,4.630831106729051
76,4.342237913464793
77,8.10002182570116
78,8.853037868548565
79,11.736836752311705
80,11.163718845504281
81,4.1833951914700656
82,2.83396939927673
83,2.5916346473651632
84,4.591927240872186
85,11.233476803637583
86,3.8195422858127768
87,4.880504336747387
88,4.709658921888314
89,5.5074356237240645
90,4.613047437810265
91,7.557068470873848
92,3.564179481889659
93,6.1993701120063065
94,7.450402456323477
95,1.728652951301036
96,7.279532886491114
97,1.386019310940796
98,7.35071285312461
99,3.07609404134604
100,1.4252100530577287
