node_id,lambda
0,0.0
1,2.709174416077791
2,2.1375828960228125
3,2.6475186628022174
4,3.142123445946636
5,5.523650377393973
6,1.266494759141088
7,9.406040197469313
8,6.570951448504578
9,5.343808580528098
10,1.260611825801493
11,3.513151306445071
12,7.1810445416738675
13,10.72308797077156
14,2.4644647417025487
15,4.202663904210691
16,4.952160577393523
17,4.709819941266442
18,2.175163288005002
19,3.4190903747056005
20,10.130354270292006
21,7.125911352123683
22,3.7809323496632845
23,8.419575823815435
24,3.0264938609041985
25,7.206722048102073
26,8.303750176080744
27,4.059507006747244
28,10.368109646989755
29,4.169965007526171
30,3.952627791558876
31,3.5047018823793668
32,11.588571231314223
33,5.10634006237688
34,3.440063119174222
35,9.360261814653892
36,7.157838274660137
37,3.7589710130598033
38,11.98476334333888
39,9.641975098217534
40,5.956311171376828
41,8.52732731327644
42,3.7879402545493575
43,8.481593826029295
44,3.2609468667770916
45,7.608900514707972
46,11.20667253088407
47,2.785422053764584
48,2.5872815357887053
49,4.755329855263897
50,2.020762547775197
51,4.825296891454945
52,11.065652812811944
53,3.000787559697642
54,8.038340780158553
55,3.1756975245355723
56,1.132080674129314
57,1.861465693666152
58,11.860008429252275
59,2.2328542339114894
60,5.365447315311367
61,4.893033079898117
62,2.5536101362760197
63,4.323065689322377
64,9.539354818835161
65,3.5654237677609784
66,4.726389112307526
67,3.1425356498333508
68,4.730075885940345
69,2.8292404515177267
70,4.098955400451382
71,10.539794778930748
72,8.749422311907354
73,6.412424266175604
74,2.4129015028147647
75,2.356750573966098
76,4.526629260315554
77,1.7541032366980214
78,3.2421203598089003
79,8.731637190312455
80,1.808900533975598
81,4.87602656863214
82,9.717290282628241
83,10.86043051688622
84,7.311817812190133
85,9.135778612294201
86,3.5256638085846173
87,1.6695924065062453
88,5.703501456853225
89,4.817272697697474
90,3.4782398657729523
91,10.03663549158043
92,5.928272764271431
93,9.743522096348435
94,1.0505017804291468
95,10.291855966551154
96,7.993669169693803
97,1.3821798603015312
98,11.613131217413404
99,4.475699727837719
100,3.2802803082875993
101,3.2675090777755824
102,6.529041803430689
103,11.873139148391902
104,11.825168507882363
105,4.66537628473718
106,5.577797216330925
107,2.910620237260255
108,2.517206190562154
109,1.769067638056781
110,1.970883769144074
111,9.337045083779692
112,8.757517637772027
113,2.0033127887914794
114,5.20443117371158
115,4.825950075514943
116,4.420908882867035
