id,lambda
0,0.0
1,83.0
2,52.0
3,73.0
4,70.0
5,86.0
6,51.0
7,74.0
8,84.0
9,52.0
10,93.0
11,91.0
12,89.0
13,64.0
14,75.0
15,64.0
16,61.0
17,2.0
18,86.0
19,95.0
20,100.0
21,73.0
22,61.0
23,83.0
24,60.0
25,85.0
26,48.0
27,66.0
28,70.0
29,91.0
30,54.0
31,55.0
32,64.0
33,56.0
34,62.0
35,89.0
36,100.0
37,96.0
38,67.0
39,21.0
40,15.0
41,55.0
42,58.0
43,84.0
44,85.0
45,91.0
46,55.0
47,79.0
48,79.0
49,82.0
50,91.0
51,89.0
52,22.0
53,31.0
54,85.0
55,22.0
56,72.0
57,59.0
58,95.0
59,99.0
60,98.0
61,54.0
62,96.0
63,69.0
64,97.0
65,67.0
66,80.0
67,65.0
68,86.0
69,90.0
70,72.0
71,69.0
72,80.0
73,72.0
74,62.0
75,78.0
76,24.0
77,88.0
78,70.0
79,71.0
80,76.0
81,93.0
82,64.0
83,80.0
84,91.0
85,75.0
86,81.0
87,79.0
88,71.0
89,51.0
90,65.0
91,68.0
92,39.0
93,69.0
94,55.0
95,100.0
96,98.0
97,87.0
98,55.0
99,79.0
100,68.0
101,99.0
102,52.0
103,99.0
104,85.0
105,77.0
106,51.0
107,55.0
108,54.0
109,70.0
110,88.0
111,9.0
112,91.0
113,65.0
114,67.0
115,93.0
116,70.0
117,73.0
118,98.0
119,64.0
120,68.0
121,100.0
122,66.0
123,8.0
124,98.0
125,15.0
126,71.0
127,92.0
128,72.0
129,76.0
130,76.0
131,93.0
132,97.0
133,79.0
134,99.0
135,58.0
136,84.0
137,82.0
138,86.0
139,77.0
140,75.0
141,59.0
142,24.0
143,69.0
144,95.0
145,83.0
146,53.0
147,56.0
148,57.0
149,67.0
150,62.0
151,62.0
152,91.0
153,60.0
154,71.0
155,68.0
156,84.0
157,64.0
158,71.0
159,82.0
160,59.0
161,72.0
162,95.0
163,63.0
164,94.0
165,92.0
166,98.0
167,14.0
168,85.0
169,52.0
170,85.0
171,96.0
172,62.0
173,76.0
174,72.0
175,94.0
176,52.0
177,51.0
178,54.0
179,96.0
180,96.0
181,82.0
182,10.0
183,54.0
184,82.0
185,58.0
186,28.0
187,37.0
188,90.0
189,91.0
190,95.0
191,89.0
192,88.0
193,100.0
194,87.0
195,66.0
196,88.0
197,74.0
198,70.0
199,80.0
